full_name,first_name,last_name,age,team,position,fantasy_positions,depth_chart_position,depth_chart_order,status,number,height,weight,college,years_exp,injury_status,cache_date
Ellis Richardson,Ellis,Richardson,26.0,,TE,TE,,,Active,45.0,75,245.0,Georgia Southern,3.0,,2024-09-17
Nick Amoah,Nick,Amoah,,,OL,OL,,,Active,63.0,74,306.0,UC Davis,0.0,,2024-09-17
Malkelm Morrison,Malkelm,Morrison,,,CB,DB,,,Injured Reserve,0.0,70,186.0,Army,1.0,,2024-09-17
Carl Tucker,Carl,Tucker,24.0,,TE,TE,,,Active,0.0,74,250.0,Alabama,1.0,,2024-09-17
C.J. Mosley,C.J.,Mosley,32.0,NYJ,LB,LB,MLB,1.0,Active,57.0,74,231.0,Alabama,10.0,Questionable,2024-09-17
Samuel Womack,Samuel,Womack,25.0,IND,CB,DB,NB,1.0,Active,33.0,71,189.0,Toledo,2.0,,2024-09-17
Ron Parker,Ron,Parker,34.0,,FS,DB,,,Injured Reserve,0.0,72,206.0,Newberry,11.0,,2024-09-17
Le'Veon Bell,Le'Veon,Bell,29.0,TB,RB,RB,,,Active,6.0,73,225.0,Michigan State,9.0,,2024-09-17
Matt Seybert,Matt,Seybert,24.0,,TE,TE,,,Active,41.0,76,252.0,Michigan State,1.0,,2024-09-17
William Gay,William,Gay,35.0,,CB,DB,,,Inactive,25.0,"5'10""",187.0,Louisville,13.0,,2024-09-17
Javin White,Javin,White,27.0,,LB,"DB,LB",,,Active,60.0,74,211.0,UNLV,4.0,,2024-09-17
Bashaud Breeland,Bashaud,Breeland,30.0,ARI,CB,DB,,,Active,24.0,71,197.0,Clemson,8.0,,2024-09-17
Brandon Aubrey,Brandon,Aubrey,29.0,DAL,K,K,K,1.0,Active,17.0,75,218.0,Notre Dame,1.0,,2024-09-17
Amarlo Herrera,Amarlo,Herrera,28.0,,LB,LB,,,Inactive,56.0,"6'1""",249.0,Georgia,5.0,,2024-09-17
Kasim Edebali,Kasim,Edebali,32.0,,DE,"DL,LB",,,Inactive,95.0,74,253.0,Boston College,8.0,,2024-09-17
Tyler Slavin,Tyler,Slavin,26.0,,WR,WR,,,Inactive,13.0,"6'2""",215.0,New Mexico Highlands,1.0,,2024-09-17
DeMarcus Lawrence,DeMarcus,Lawrence,32.0,DAL,DE,DL,LDE,1.0,Active,90.0,75,265.0,Boise State,10.0,,2024-09-17
